AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1199,"Business Operations Specialists, All Other",detailed,110,9.2,,,1.54,6,49.51,"102,990",3.3,30.52,37.90,48.92,62.43,74.05,"63,490","78,830","101,760","129,850","154,030",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-2000,Financial Specialists,minor,80,11.0,,,1.18,8,61.03,"126,930",7.1,31.74,40.86,52.94,70.15,#,"66,010","84,980","110,100","145,900",#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-2010,Accountants and Auditors,broad,60,14.2,,,0.89,7,64.38,"133,920",7.9,38.41,48.92,59.09,70.19,#,"79,890","101,760","122,910","146,000",#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-2011,Accountants and Auditors,detailed,60,14.2,,,0.89,7,64.38,"133,920",7.9,38.41,48.92,59.09,70.19,#,"79,890","101,760","122,910","146,000",#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,15-0000,Computer and Mathematical Occupations,major,140,8.5,,,2.09,9,54.98,"114,360",1.5,38.93,49.26,56.52,63.04,63.45,"80,960","102,450","117,570","131,120","131,980",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,15-1200,Computer Occupations,minor,140,8.5,,,2.09,9,54.98,"114,360",1.5,38.93,49.26,56.52,63.04,63.45,"80,960","102,450","117,570","131,120","131,980",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,15-1210,Computer and Information Analysts,broad,90,9.9,,,1.36,5,60.31,"125,440",1.0,49.26,55.62,63.00,63.04,69.91,"102,450","115,690","131,040","131,120","145,420",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,15-1211,Computer Systems Analysts,detailed,90,9.9,,,1.36,5,60.31,"125,440",1.0,49.26,55.62,63.00,63.04,69.91,"102,450","115,690","131,040","131,120","145,420",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-0000,Architecture and Engineering Occupations,major,320,10.7,,,4.69,24,54.17,"112,670",2.3,36.44,45.25,49.30,62.81,75.46,"75,800","94,130","102,530","130,650","156,950",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-2000,Engineers,minor,260,12.8,,,3.86,22,56.25,"117,000",3.1,37.66,47.62,57.88,71.65,78.08,"78,330","99,040","120,390","149,030","162,410",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-2070,Electrical and Electronics Engineers,broad,180,17.8,,,2.63,16,57.18,"118,940",4.2,38.29,47.62,57.88,74.40,78.87,"79,640","99,040","120,390","154,750","164,050",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-2071,Electrical Engineers,detailed,180,18.0,,,2.59,16,57.06,"118,690",4.2,38.29,47.62,51.75,74.40,78.87,"79,640","99,040","107,630","154,750","164,050",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-2190,Miscellaneous Engineers,broad,40,17.8,,,0.56,3,51.24,"106,570",4.6,29.21,38.41,50.48,58.96,74.40,"60,750","79,900","104,990","122,650","154,750",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-2199,"Engineers, All Other",detailed,40,17.8,,,0.56,3,51.24,"106,570",4.6,29.21,38.41,50.48,58.96,74.40,"60,750","79,900","104,990","122,650","154,750",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,50,9.3,,,0.73,5,43.37,"90,210",1.8,29.68,35.83,42.02,48.25,58.17,"61,730","74,530","87,400","100,360","121,000",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,17-3020,"Engineering Technologists and Technicians, Except Drafters",broad,30,11.0,,,0.50,3,46.36,"96,430",1.5,29.68,37.84,46.41,58.17,60.59,"61,730","78,700","96,520","121,000","126,030",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-0000,"Life, Physical, and Social Science Occupations",major,160,11.7,,,2.40,12,46.91,"97,580",2.4,23.43,37.64,48.33,60.22,63.38,"48,740","78,300","100,530","125,260","131,820",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-2000,Physical Scientists,minor,50,17.7,,,0.68,4,51.54,"107,200",2.9,29.86,39.83,50.63,61.66,63.82,"62,110","82,850","105,310","128,250","132,750",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-2040,Environmental Scientists and Geoscientists,broad,40,17.5,,,0.58,3,53.68,"111,650",2.3,29.86,48.33,56.98,61.86,67.90,"62,110","100,530","118,510","128,660","141,240",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,30,20.5,,,0.50,3,53.24,"110,740",2.3,29.86,45.33,55.29,61.74,70.28,"62,110","94,290","115,000","128,420","146,170",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-4000,"Life, Physical, and Social Science Technicians",minor,40,21.9,,,0.65,5,35.71,"74,270",9.9,23.00,23.01,31.09,47.34,52.80,"47,850","47,850","64,660","98,470","109,820",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-5000,Occupational Health and Safety Specialists and Technicians,minor,40,13.8,,,0.65,5,55.69,"115,830",1.7,39.40,48.75,56.98,62.54,63.90,"81,940","101,390","118,510","130,090","132,920",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-5010,Occupational Health and Safety Specialists and Technicians,broad,40,13.8,,,0.65,5,55.69,"115,830",1.7,39.40,48.75,56.98,62.54,63.90,"81,940","101,390","118,510","130,090","132,920",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,19-5011,Occupational Health and Safety Specialists,detailed,40,13.4,,,0.64,5,56.07,"116,630",1.6,39.96,48.75,56.98,62.54,63.90,"83,120","101,390","118,510","130,090","132,920",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,41-0000,Sales and Related Occupations,major,100,22.3,,,1.45,10,52.16,"108,500",9.8,28.27,47.14,49.53,61.71,74.95,"58,800","98,050","103,030","128,350","155,890",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,41-3000,"Sales Representatives, Services",minor,70,28.9,,,1.07,8,54.60,"113,580",10.9,27.68,48.31,51.74,63.47,74.95,"57,570","100,480","107,630","132,010","155,890",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,41-3090,"Miscellaneous Sales Representatives, Services",broad,70,28.9,,,1.07,8,54.60,"113,580",10.9,27.68,48.31,51.74,63.47,74.95,"57,570","100,480","107,630","132,010","155,890",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,70,28.9,,,1.07,8,54.60,"113,580",10.9,27.68,48.31,51.74,63.47,74.95,"57,570","100,480","107,630","132,010","155,890",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-0000,Office and Administrative Support Occupations,major,560,7.5,,,8.25,34,27.33,"56,840",3.0,14.44,18.30,24.78,32.15,45.44,"30,040","38,060","51,530","66,870","94,520",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-1000,Supervisors of Office and Administrative Support Workers,minor,60,12.2,,,0.82,4,44.01,"91,540",5.5,29.43,31.19,46.17,47.87,62.16,"61,210","64,880","96,030","99,580","129,300",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-1010,First-Line Supervisors of Office and Administrative Support Workers,broad,60,12.2,,,0.82,4,44.01,"91,540",5.5,29.43,31.19,46.17,47.87,62.16,"61,210","64,880","96,030","99,580","129,300",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,60,12.2,,,0.82,4,44.01,"91,540",5.5,29.43,31.19,46.17,47.87,62.16,"61,210","64,880","96,030","99,580","129,300",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-3000,Financial Clerks,minor,140,11.6,,,1.98,7,24.83,"51,640",2.3,17.84,22.42,22.86,28.73,29.52,"37,100","46,640","47,550","59,770","61,400",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-3030,"Bookkeeping, Accounting, and Auditing Clerks",broad,70,16.9,,,1.03,6,25.57,"53,190",4.6,17.98,22.42,24.59,29.39,30.52,"37,410","46,640","51,150","61,140","63,480",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,70,16.9,,,1.03,6,25.57,"53,190",4.6,17.98,22.42,24.59,29.39,30.52,"37,410","46,640","51,150","61,140","63,480",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-4000,Information and Record Clerks,minor,100,13.7,,,1.43,5,24.14,"50,210",5.7,14.44,17.84,20.25,28.77,39.59,"30,040","37,100","42,130","59,840","82,360",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-4050,Customer Service Representatives,broad,80,14.1,,,1.16,3,21.86,"45,460",2.3,14.44,17.84,18.29,23.19,29.52,"30,020","37,100","38,050","48,230","61,400",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-4051,Customer Service Representatives,detailed,80,14.1,,,1.16,3,21.86,"45,460",2.3,14.44,17.84,18.29,23.19,29.52,"30,020","37,100","38,050","48,230","61,400",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,80,30.9,,,1.11,11,33.63,"69,940",6.7,22.42,28.55,32.15,38.80,46.88,"46,640","59,380","66,870","80,700","97,510",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-5040,"Meter Readers, Utilities",broad,**,**,,,**,**,33.00,"68,640",8.3,22.42,28.55,34.14,38.23,39.25,"46,640","59,380","71,020","79,510","81,640",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-5041,"Meter Readers, Utilities",detailed,**,**,,,**,**,33.00,"68,640",8.3,22.42,28.55,34.14,38.23,39.25,"46,640","59,380","71,020","79,510","81,640",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-6000,Secretaries and Administrative Assistants,minor,80,27.0,,,1.15,10,26.16,"54,410",2.5,18.51,22.59,26.06,29.31,33.31,"38,500","46,980","54,200","60,960","69,290",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-6010,Secretaries and Administrative Assistants,broad,80,27.0,,,1.15,10,26.16,"54,410",2.5,18.51,22.59,26.06,29.31,33.31,"38,500","46,980","54,200","60,960","69,290",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,60,31.4,,,0.90,9,25.23,"52,470",3.7,18.23,22.47,24.35,28.71,29.52,"37,920","46,740","50,640","59,720","61,400",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-9000,Other Office and Administrative Support Workers,minor,120,15.5,,,1.76,13,21.72,"45,180",7.0,8.66,14.00,18.90,24.72,45.97,"18,010","29,120","39,320","51,420","95,620",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-9060,"Office Clerks, General",broad,120,15.5,,,1.76,13,21.72,"45,180",7.0,8.66,14.00,18.90,24.72,45.97,"18,010","29,120","39,320","51,420","95,620",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,43-9061,"Office Clerks, General",detailed,120,15.5,,,1.76,13,21.72,"45,180",7.0,8.66,14.00,18.90,24.72,45.97,"18,010","29,120","39,320","51,420","95,620",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,47-0000,Construction and Extraction Occupations,major,310,14.7,,,4.56,9,52.38,"108,950",2.9,45.69,47.29,53.10,58.95,61.24,"95,040","98,370","110,440","122,620","127,390",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,47-2000,Construction Trades Workers,minor,250,17.0,,,3.71,9,51.68,"107,500",3.4,45.69,47.23,51.72,58.95,61.24,"95,040","98,240","107,580","122,620","127,390",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,47-2110,Electricians,broad,190,22.0,,,2.73,8,52.16,"108,500",4.5,45.69,47.29,53.13,58.95,61.24,"95,040","98,370","110,510","122,620","127,390",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,47-2111,Electricians,detailed,190,22.0,,,2.73,8,52.16,"108,500",4.5,45.69,47.29,53.13,58.95,61.24,"95,040","98,370","110,510","122,620","127,390",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,40,25.5,,,0.54,2,51.85,"107,840",2.6,47.94,48.91,48.91,58.95,58.95,"99,720","101,740","101,740","122,620","122,620",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,40,25.5,,,0.54,2,51.85,"107,840",2.6,47.94,48.91,48.91,58.95,58.95,"99,720","101,740","101,740","122,620","122,620",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-0000,"Installation, Maintenance, and Repair Occupations",major,"1,870",5.4,,,27.29,62,43.90,"91,310",1.8,24.11,34.83,46.46,51.33,60.95,"50,140","72,440","96,640","106,770","126,780",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",minor,300,7.0,,,4.39,26,50.45,"104,930",1.2,33.70,46.35,49.47,60.62,62.71,"70,100","96,410","102,900","126,090","130,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",broad,300,7.0,,,4.39,26,50.45,"104,930",1.2,33.70,46.35,49.47,60.62,62.71,"70,100","96,410","102,900","126,090","130,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,300,7.0,,,4.39,26,50.45,"104,930",1.2,33.70,46.35,49.47,60.62,62.71,"70,100","96,410","102,900","126,090","130,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,240,11.7,,,3.52,21,46.03,"95,740",3.4,23.04,37.26,48.47,59.08,62.76,"47,910","77,500","100,810","122,880","130,530",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,240,11.7,,,3.52,21,46.03,"95,740",3.4,23.04,37.26,48.47,59.08,62.76,"47,910","77,500","100,810","122,880","130,530",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,30,5.8,,,0.50,3,55.13,"114,660",1.6,49.18,49.18,58.69,60.62,62.15,"102,290","102,290","122,070","126,090","129,270",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,210,14.0,,,3.02,18,44.51,"92,580",4.3,19.20,31.46,48.27,55.90,62.76,"39,940","65,440","100,410","116,280","130,530",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,**,**,,,**,**,40.41,"84,040",18.5,32.44,36.25,39.84,41.19,51.65,"67,480","75,410","82,870","85,680","107,440",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"1,240",6.9,,,18.13,54,42.14,"87,650",2.7,23.50,29.78,44.65,49.14,60.27,"48,880","61,940","92,860","102,220","125,370",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9010,Control and Valve Installers and Repairers,broad,70,4.6,,,1.03,4,49.37,"102,700",0.4,37.42,46.46,47.62,58.58,60.70,"77,830","96,640","99,040","121,840","126,250",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,70,4.6,,,1.03,4,49.37,"102,700",0.4,37.42,46.46,47.62,58.58,60.70,"77,830","96,640","99,040","121,840","126,250",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,450,13.6,,,6.56,31,41.16,"85,610",5.8,23.38,29.81,38.18,47.94,59.93,"48,630","62,000","79,420","99,710","124,650",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9041,Industrial Machinery Mechanics,detailed,450,13.6,,,6.56,31,41.16,"85,610",5.8,23.38,29.81,38.18,47.94,59.93,"48,630","62,000","79,420","99,710","124,650",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9050,Line Installers and Repairers,broad,510,11.2,,,7.41,27,46.04,"95,770",3.1,29.17,36.78,47.31,54.60,60.70,"60,670","76,490","98,400","113,580","126,250",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9051,Electrical Power-Line Installers and Repairers,detailed,500,11.4,,,7.28,27,45.80,"95,270",3.1,29.14,36.78,47.27,52.66,60.70,"60,620","76,490","98,330","109,540","126,250",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9070,"Maintenance and Repair Workers, General",broad,160,20.6,,,2.31,15,32.01,"66,580",6.3,18.25,22.56,29.63,42.98,47.53,"37,970","46,920","61,630","89,400","98,860",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9071,"Maintenance and Repair Workers, General",detailed,160,20.6,,,2.31,15,32.01,"66,580",6.3,18.25,22.56,29.63,42.98,47.53,"37,970","46,920","61,630","89,400","98,860",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9080,Wind Turbine Service Technicians,broad,**,**,,,**,**,34.79,"72,350",13.0,22.45,22.94,28.36,47.73,48.76,"46,690","47,720","58,980","99,270","101,410",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,49-9081,Wind Turbine Service Technicians,detailed,**,**,,,**,**,34.79,"72,350",13.0,22.45,22.94,28.36,47.73,48.76,"46,690","47,720","58,980","99,270","101,410",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-0000,Production Occupations,major,"2,390",5.7,,,34.87,76,39.16,"81,450",2.6,18.45,27.57,38.70,49.34,61.27,"38,370","57,340","80,500","102,620","127,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-1000,Supervisors of Production Workers,minor,210,10.4,,,3.08,21,51.56,"107,250",2.2,30.10,36.83,52.30,61.79,73.28,"62,600","76,600","108,780","128,520","152,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-1010,First-Line Supervisors of Production and Operating Workers,broad,210,10.4,,,3.08,21,51.56,"107,250",2.2,30.10,36.83,52.30,61.79,73.28,"62,600","76,600","108,780","128,520","152,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,210,10.4,,,3.08,21,51.56,"107,250",2.2,30.10,36.83,52.30,61.79,73.28,"62,600","76,600","108,780","128,520","152,430",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-4000,Metal Workers and Plastic Workers,minor,70,10.5,,,1.08,6,48.07,"99,990",3.7,29.57,46.05,48.26,57.95,61.15,"61,500","95,780","100,380","120,540","127,190",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-4040,Machinists,broad,40,17.1,,,0.64,3,51.87,"107,890",2.5,45.52,47.66,48.26,60.09,62.18,"94,680","99,140","100,380","124,990","129,340",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-4041,Machinists,detailed,40,17.1,,,0.64,3,51.87,"107,890",2.5,45.52,47.66,48.26,60.09,62.18,"94,680","99,140","100,380","124,990","129,340",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-4120,"Welding, Soldering, and Brazing Workers",broad,30,9.2,,,0.44,3,42.55,"88,500",5.9,23.09,29.57,47.17,57.95,57.95,"48,020","61,500","98,110","120,540","120,540",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,30,9.2,,,0.44,3,42.55,"88,500",5.9,23.09,29.57,47.17,57.95,57.95,"48,020","61,500","98,110","120,540","120,540",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-8000,Plant and System Operators,minor,"2,050",6.5,,,29.95,76,38.13,"79,300",2.9,18.46,27.31,37.95,49.24,59.48,"38,400","56,800","78,940","102,430","123,710",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,"1,910",4.7,,,27.86,75,37.39,"77,770",2.8,18.45,24.23,37.41,48.41,59.48,"38,370","50,390","77,810","100,690","123,710",,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,51-8012,Power Distributors and Dispatchers,detailed,70,36.7,,,0.98,5,46.07,"95,830",3.5,31.98,40.86,47.52,51.84,51.96,"66,510","84,990","98,850","107,830","108,070",,
